who_is,https,js_len,www_count,embed_url_count,http_count,-_count,suspicious,letter_count,special-Count,tld_length,if_org_or_gov,if_porn_u,if_ali_u,if_porn_d,if_safety_d,if_apple_d,if_cn,if_korea
0,0,356.4,1,-1,1,0,0,23,6,3,0,0,0,0,0,0,0,0
0,0,808.2,1,-1,1,2,0,21,7,3,0,0,0,0,0,0,0,0
0,0,779.4,1,-1,1,1,0,22,7,2,0,0,0,0,0,0,0,0
0,0,365.4,0,-1,1,1,0,16,6,2,0,0,0,0,0,0,0,0
0,0,392.4,1,-1,1,0,0,23,6,3,0,0,0,0,0,0,0,0
0,0,418.5,0,-1,1,0,0,33,6,3,0,0,0,0,0,0,0,0
1,0,764.1,0,-1,1,0,0,23,7,2,0,0,0,0,0,0,0,0
0,0,394.2,1,-1,1,0,0,17,6,2,0,0,0,0,0,0,0,0
0,0,646.2,1,-1,1,0,1,37,9,3,0,0,0,0,0,0,0,0
1,0,360.9,1,-1,1,0,1,24,5,3,0,1,0,1,0,0,0,0
0,0,621.9,1,-1,1,0,0,22,6,3,0,0,0,0,0,0,0,0
0,0,559.8,0,-1,1,0,0,46,8,3,0,0,0,0,0,0,0,0
0,0,0.0,1,-1,1,0,0,38,7,3,0,0,0,0,0,0,0,0
0,0,0.0,1,-1,1,0,0,22,6,3,0,0,0,0,0,0,0,0
0,0,726.3,1,-1,1,3,0,30,8,3,0,0,0,0,0,0,0,0
0,0,767.7,1,-1,1,0,0,24,6,3,0,0,1,0,0,0,1,0
1,0,695.7,1,-1,1,0,0,24,6,3,0,0,0,0,0,0,0,0
0,0,821.7,1,-1,1,2,0,27,8,3,0,0,0,0,0,0,0,0
0,0,783.9,1,-1,1,0,0,30,7,6,0,0,0,0,0,0,0,0
0,0,778.5,1,-1,1,1,0,33,8,3,0,0,0,0,0,0,0,0
0,0,405.0,1,-1,1,1,0,22,7,2,0,0,0,0,0,0,0,0
1,0,720.0,0,-1,1,0,0,46,9,3,0,0,0,0,0,0,0,0
0,0,662.4,1,-1,1,0,0,15,5,2,0,0,0,0,0,0,0,0
0,0,593.1,1,-1,1,0,1,25,7,3,0,1,0,1,0,0,0,0
0,0,486.0,1,-1,1,0,0,21,6,3,1,0,0,0,0,0,0,0
0,0,315.9,1,-1,1,1,0,28,8,5,0,0,0,0,0,0,0,0
0,1,408.6,1,-1,1,7,0,47,14,3,0,0,0,0,0,0,0,0
0,0,770.4,1,-1,1,2,0,28,9,3,0,0,0,0,0,0,0,0
0,0,492.3,0,-1,1,1,0,15,6,3,0,0,0,0,0,0,0,0
0,0,544.5,0,-1,1,2,0,32,8,2,0,0,0,0,0,0,0,0
1,0,653.4,1,-1,1,2,0,35,9,3,0,0,0,0,0,0,0,0
0,0,613.8,1,-1,1,0,0,21,6,3,0,0,0,0,0,0,0,0
0,0,692.1,1,-1,1,0,0,22,6,3,0,0,0,0,0,0,0,0
0,0,620.1,1,-1,1,2,0,35,9,3,0,0,0,0,0,0,0,0
0,0,386.1,0,-1,1,0,0,29,8,3,0,0,0,0,0,0,1,0
0,0,792.0,0,-1,1,0,0,27,7,6,0,0,0,0,0,0,0,0
0,1,518.4,1,-1,1,3,1,26,9,3,0,1,0,1,0,0,0,0
0,0,497.7,1,-1,1,4,1,45,12,3,0,1,0,1,0,0,0,0
0,0,455.4,1,-1,1,1,1,16,6,2,0,1,0,1,0,0,1,0
0,1,569.7,1,-1,1,0,0,23,6,3,0,0,0,0,0,0,0,0
0,0,638.1,1,-1,1,0,0,12,6,2,0,0,0,0,0,0,0,0
0,0,798.3,1,-1,1,5,0,58,14,3,0,0,0,0,0,0,0,0
0,1,819.9,1,-1,1,2,0,24,8,3,1,0,0,0,0,0,0,0
0,0,824.4,1,-1,1,0,0,16,6,3,0,0,0,0,0,0,0,0
0,1,592.2,1,-1,1,0,0,18,6,3,0,0,0,0,0,0,0,0
0,0,485.1,1,-1,1,2,1,26,8,3,0,1,0,1,0,0,0,0
0,0,0.0,0,-1,1,0,0,18,6,5,0,0,0,0,0,0,1,0
0,0,711.9,1,-1,1,0,1,31,7,3,0,0,0,0,0,0,0,0
0,0,599.4,1,-1,1,1,0,37,9,3,0,0,0,0,0,0,0,0
0,0,381.6,1,-1,1,1,0,22,7,3,1,0,0,0,0,0,0,0
0,1,450.9,1,-1,1,0,0,24,8,3,0,0,0,0,0,0,0,0
0,0,486.0,1,-1,1,0,0,39,9,3,0,0,0,0,0,0,0,0
0,0,594.9,0,-1,1,0,1,32,8,3,0,0,0,0,0,0,0,0
0,0,719.1,1,-1,1,0,0,19,6,3,0,0,0,0,0,0,0,0
