url_len,who_is,https,js_len,js_obf_len,dot_count,www_count,embed_url_count,https_count,space_count,=_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_porn_d,if_google_d,if_cn,if_japan,if_korea
21,0,0,674.1,546.021,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
51,0,0,551.7,391.707,3,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
25,0,0,342.0,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
29,0,0,321.3,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
18,0,0,792.9,673.965,1,0,-1,0,0,0,0,3,0,0,0,0,0,0,1,0
30,0,0,547.2,246.24,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
28,0,0,687.6,563.832,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
32,0,0,584.1,549.054,3,0,-1,0,0,0,0,5,0,0,0,0,0,1,0,0
33,0,1,710.1,390.555,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,1,0
31,0,0,0.0,0.0,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
22,0,0,560.7,229.887,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
48,0,0,813.6,406.8,2,0,-1,0,0,0,1,3,1,0,0,0,0,0,0,0
43,0,0,541.8,335.916,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
39,0,0,487.8,453.654,2,1,-1,0,0,0,1,3,1,0,0,0,0,0,0,0
24,1,0,463.5,342.99,2,1,-1,0,0,0,0,2,0,0,0,0,0,1,0,0
44,0,0,429.3,240.408,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
19,0,0,398.7,354.843,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
23,0,0,502.2,467.046,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
27,0,0,571.5,342.9,3,1,-1,0,0,0,0,6,0,0,0,0,0,0,0,0
28,0,0,409.5,171.99,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
34,0,0,530.1,445.284,2,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
28,0,0,324.0,0.0,2,1,-1,0,0,0,0,2,0,0,0,0,0,1,0,0
29,0,0,465.3,390.852,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
44,0,1,774.9,666.414,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
34,1,0,819.9,401.751,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
26,1,0,0.0,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
75,0,0,358.2,179.1,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
32,0,0,549.0,505.08,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
39,0,0,324.9,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
44,0,0,538.2,306.774,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
56,0,0,681.3,408.78,3,1,-1,0,0,0,1,3,1,1,0,0,0,0,0,0
24,0,0,789.3,726.156,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
25,0,0,418.5,259.47,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,1,0
42,0,0,540.9,329.949,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,1,0
28,0,0,819.0,515.97,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
31,0,0,408.6,253.332,3,1,-1,0,0,0,0,5,0,0,0,0,0,0,0,0
35,0,0,641.7,455.607,3,1,-1,0,0,0,0,5,0,0,0,0,0,0,0,0
37,0,0,745.2,484.38,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,1,0
31,1,0,691.2,380.16,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,0,0,518.4,300.672,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
22,0,0,741.6,304.056,1,0,-1,0,0,0,0,3,1,0,0,0,0,0,1,0
33,0,1,678.6,610.74,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
63,0,0,0.0,0.0,3,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
40,0,0,322.2,0.0,3,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
19,0,0,798.3,431.082,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
50,0,1,425.7,297.99,2,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
28,0,0,801.0,400.5,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
34,0,0,366.3,161.172,2,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
25,0,0,529.2,433.944,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
50,0,0,755.1,483.264,3,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
31,0,0,622.8,392.364,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
47,0,0,323.1,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
25,0,0,782.1,320.661,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,1,0
29,0,0,834.3,483.894,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
31,1,0,511.2,460.08,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
27,0,0,766.8,552.096,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,0,0,633.6,329.472,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
53,0,0,486.0,451.98,2,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
26,1,0,738.0,538.74,2,1,-1,0,0,0,1,3,1,1,0,1,0,0,1,0
26,0,0,844.2,574.056,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,0,0,422.1,274.365,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
37,0,0,756.0,597.24,3,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
55,0,0,478.8,406.98,3,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
29,0,0,802.8,377.316,3,1,-1,0,0,0,0,5,0,0,0,0,0,1,0,0
31,0,0,734.4,455.328,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,1,0,360.9,306.765,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
27,0,0,427.5,367.65,2,1,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
30,0,0,604.8,489.888,3,1,-1,0,0,0,0,5,0,0,0,0,0,0,0,0
27,0,0,706.5,600.525,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
31,0,0,477.9,348.867,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
32,0,0,832.5,541.125,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
39,0,0,356.4,206.712,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
25,0,0,805.5,354.42,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
28,0,0,604.8,411.264,2,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
19,0,0,0.0,0.0,1,0,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
44,0,0,654.3,601.956,2,1,-1,0,0,0,1,3,1,0,0,0,0,0,0,0
32,0,0,423.0,241.11,2,0,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
65,0,0,754.2,422.352,3,0,-1,0,0,1,0,3,1,0,0,0,0,0,0,0
37,1,0,589.5,306.54,1,0,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
34,0,0,584.1,549.054,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
27,0,0,801.0,552.69,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
44,0,1,342.9,0.0,3,1,-1,0,0,0,1,3,1,0,0,0,0,0,0,0
46,0,0,490.5,255.06,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
40,0,0,616.5,302.085,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
44,0,0,547.2,257.184,1,0,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
35,0,0,765.0,619.65,3,1,-1,0,0,0,0,5,0,0,0,0,0,0,0,0
41,0,0,724.5,499.905,3,0,-1,0,0,0,0,3,0,0,0,0,0,0,0,0
30,0,0,372.6,335.34,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
39,0,0,390.6,253.89,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
23,0,0,707.4,650.808,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
22,0,0,0.0,0.0,2,1,-1,0,0,0,0,3,1,0,0,0,0,1,0,0
25,0,0,853.2,631.368,2,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
38,0,0,539.1,231.813,3,1,-1,0,0,0,0,6,0,0,0,0,0,0,0,0
51,0,0,543.6,483.804,2,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
52,0,1,503.1,281.736,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
35,1,1,315.9,0.0,3,1,-1,0,0,0,0,5,0,0,0,0,0,0,0,0
31,0,0,475.2,242.352,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
57,0,0,407.7,183.465,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,1,0
30,0,0,511.2,475.416,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
39,0,0,849.6,484.272,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
23,0,0,746.1,649.107,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
45,0,0,633.6,456.192,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
43,0,1,369.0,261.99,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
71,0,0,612.9,349.353,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
76,0,0,347.4,0.0,2,1,-1,0,0,0,1,3,0,1,0,0,0,0,0,0
26,0,0,360.9,256.239,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
29,0,0,734.4,492.048,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
52,0,0,637.2,337.716,3,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,0,0,846.9,779.148,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
30,0,0,612.9,453.546,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
40,0,0,515.7,283.635,3,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
27,0,0,842.4,775.008,2,1,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
55,0,0,751.5,450.9,2,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
21,0,0,377.1,154.611,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
72,0,0,385.2,292.752,3,1,-1,0,0,0,1,3,1,1,0,1,0,0,0,0
25,0,0,581.4,255.816,2,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0
41,0,0,610.2,402.732,2,1,-1,0,0,0,0,3,1,0,0,0,0,0,0,0
