url_len,who_is,https,js_len,www_count,embed_url_count,count@,shortened_url,http_count,space_count,?_count,suspicious,tld_length,if_com,if_porn_u,if_safety_u,if_ali_d,if_jd_d,if_usa,if_india,if_africa,if_korea
21,0,0,674.1,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
51,0,0,551.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
25,0,0,342.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
29,0,0,321.3,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
18,0,0,792.9,0,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
30,0,0,547.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
28,0,0,687.6,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
32,0,0,584.1,0,-1,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0
33,0,1,710.1,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
31,0,0,0.0,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
22,0,0,560.7,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
48,0,0,813.6,0,-1,0,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0
43,0,0,541.8,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
39,0,0,487.8,1,-1,0,0,1,0,0,1,3,1,0,0,0,0,1,0,0,0
24,1,0,463.5,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
44,0,0,429.3,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
19,0,0,398.7,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
23,0,0,502.2,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0
27,0,0,571.5,1,-1,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0
28,0,0,409.5,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
34,0,0,530.1,0,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0
28,0,0,324.0,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
29,0,0,465.3,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
44,0,1,774.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
34,1,0,819.9,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
26,1,0,0.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
75,0,0,358.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
32,0,0,549.0,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
39,0,0,324.9,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
44,0,0,538.2,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
56,0,0,681.3,1,-1,0,0,1,0,0,1,3,1,1,0,0,0,0,0,0,0
24,0,0,789.3,1,-1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,0
25,0,0,418.5,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
42,0,0,540.9,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
28,0,0,819.0,1,-1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0
31,0,0,408.6,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
35,0,0,641.7,1,-1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
37,0,0,745.2,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
31,1,0,691.2,1,-1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0
30,0,0,518.4,1,-1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
22,0,0,741.6,0,-1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0
